,Unnamed: 0_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Attendu,Attendu,Attendu,AMT,AMT,Passes,Passes,Passes,Passes,Balle au pied,Balle au pied,Dribbles,Dribbles,match_info
,Joueur,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Press,Tcl,Int,Balles contrées,xG,npxG,xA,AMT,AMB,Cmp,Att,Cmp%,Prog,Balle au pied,Prog,Réussi,Tenté,
13,13 joueurs,990,2,1,0,0,15,6,1,0,736,164,17,22,15,1.3,1.3,1.0,27,3,477,592,80.6,39,491,48,11,20,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,5,0,3,0,547,181,15,13,22,0.3,0.3,0.3,10,0,346,431,80.3,16,348,35,10,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,23,6,0,0,865,111,16,10,16,3.2,2.4,1.5,32,1,618,735,84.1,62,584,90,5,12,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,9,2,0,0,639,183,25,16,23,0.7,0.7,0.5,13,0,406,494,82.2,25,393,25,8,11,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,1,0,0,13,6,0,0,794,180,21,25,7,0.9,0.9,0.3,21,6,637,705,90.4,44,590,75,8,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,0,1,1,23,5,2,0,758,124,18,19,5,2.9,2.2,1.7,31,1,531,634,83.8,50,573,72,11,20,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,1,2,2,14,4,2,0,586,168,20,12,24,2.8,1.3,1.0,25,6,377,458,82.3,43,361,57,10,16,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,2,0,0,20,9,1,0,722,145,22,6,18,3.8,3.8,3.0,35,4,502,592,84.8,47,458,53,22,32,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,6,5,1,1,22,12,0,0,763,191,24,15,15,3.4,2.6,2.4,40,10,583,648,90.0,47,543,77,9,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,13,6,4,0,562,127,12,18,16,1.0,1.0,0.9,22,2,306,460,66.5,28,247,38,8,14,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,6,3,3,0,470,203,17,16,24,0.3,0.3,0.3,9,0,281,357,78.7,22,263,24,9,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,3,2,1,1,10,3,1,0,471,202,10,15,24,1.8,1.0,0.9,15,4,270,368,73.4,21,244,23,6,7,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,25,4,1,0,802,100,8,4,17,2.3,2.3,1.9,43,2,596,690,86.4,66,568,68,10,15,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
13,13 joueurs,990,0,0,0,0,4,1,0,0,585,207,21,23,22,0.3,0.3,0.3,6,0,356,463,76.9,16,349,20,5,15,Wolverhampton-Wanderers-Chelsea-19-Decembre-2021-Premier-League
14,14 joueurs,990,1,1,0,0,11,5,4,0,600,168,20,20,13,1.1,1.1,0.4,11,2,365,472,77.3,35,342,36,5,11,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
14,14 joueurs,990,0,0,0,0,6,1,3,0,322,120,9,16,16,0.3,0.3,0.3,8,0,145,227,63.9,8,151,10,9,12,Chelsea-Brighton-and-Hove-Albion-29-Decembre-2021-Premier-League
